Year,N_games,Accuracy,LR_Acc,Ensemble_Acc,ELO_Acc,Brier,LogLoss,N_bets_XGB,N_bets_LR,N_bets_Ens,Flat_ROI%,LR_Flat_ROI%,Ens_Flat_ROI%,Kelly_ROI%,LR_Kelly_ROI%,Ens_Kelly_ROI%
2015,302,0.6854,0.7152,0.6954,0.7053,0.1892,0.6735,172,175,174,-7.31,0.54,-2.65,0.49,20.14,11.06
2016,282,0.7589,0.7553,0.7624,0.7447,0.1638,0.7341,157,159,162,9.08,5.85,9.29,8.11,19.37,11.65
2017,297,0.7542,0.7576,0.7643,0.7306,0.1746,0.544,159,161,162,-0.72,-6.07,-2.99,-0.69,-8.99,-1.95
2018,261,0.6169,0.6552,0.6284,0.6437,0.2351,0.6978,151,154,149,-6.63,-3.84,-9.38,-4.84,6.93,-6.27
2019,306,0.7516,0.7353,0.7418,0.7255,0.1847,0.6928,199,203,197,6.28,-0.15,3.24,2.33,16.14,9.88
2020,138,0.6957,0.7029,0.7174,0.6739,0.1936,0.5867,81,85,83,-6.48,-5.2,-4.06,-8.75,-5.56,-7.92
2021,173,0.7514,0.7514,0.7399,0.7225,0.1698,0.5064,92,96,95,-2.09,0.66,-3.62,4.05,26.19,14.26
2022,204,0.701,0.6961,0.6814,0.6716,0.2074,0.6479,118,121,118,-9.68,-9.75,-9.43,-7.01,-8.46,-17.01
2023,225,0.7956,0.7867,0.7778,0.76,0.1563,0.5025,144,143,139,7.95,1.74,2.17,3.44,4.04,8.1
2024,385,0.6494,0.6519,0.6494,0.6779,0.2194,0.715,213,220,211,-3.81,-6.52,-5.61,-1.16,-0.98,-0.64
2025,831,0.6703,0.6679,0.6703,0.6943,0.2034,0.5967,480,430,452,7.39,5.4,6.1,3.54,15.96,10.64
