Date,Year,Home_Team,Away_Team,Home_Score,Away_Score,Actual_Margin,Result,Home_Win,Real_Home_Odds,Real_Away_Odds,Real_Home_Prob,Real_Away_Prob,Real_Spread,Real_Total,ELO_Home_ELO,ELO_Away_ELO,ELO_Home_Prob,ELO_Away_Prob,ELO_Home_Odds,ELO_Away_Odds,ELO_Spread,Model_Home_Prob,Model_Away_Prob,Model_Home_Odds,Model_Away_Odds,Model_Spread,Home_Edge_Model_vs_Real,Home_Edge_ELO_vs_Real,Spread_Edge_Model_vs_Real
2015-02-13,2015,Crusaders,Melbourne Rebels,10.0,20.0,-10.0,A,0.0,1.152,6.38,0.8471,0.1529,-12.5,48.5,1497.0,1500.0,0.6023,0.3977,1.66,2.514,4.1,0.5241,0.4759,1.908,2.101,4.6,-0.323,-0.2448,-7.9
2015-02-13,2015,Brumbies,Queensland Reds,47.0,3.0,44.0,H,1.0,1.243,4.54,0.7851,0.2149,-9.5,46.5,1541.0,1598.0,0.5257,0.4743,1.902,2.108,1.0,0.4029,0.5971,2.482,1.675,0.7,-0.3822,-0.2594,-8.8
2015-02-13,2015,Lions,Hurricanes,8.0,22.0,-14.0,A,0.0,2.13,1.8,0.458,0.542,2.5,53.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.2497,0.1483,11.8
2015-02-14,2015,Bulls,Stormers,17.0,29.0,-12.0,A,0.0,1.303,3.89,0.7491,0.2509,-7.5,41.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.0414,-0.1428,1.8
2015-02-14,2015,Blues,Chiefs,18.0,23.0,-5.0,A,0.0,2.09,1.833,0.4672,0.5328,2.5,47.0,1495.0,1500.0,0.5999,0.4001,1.667,2.499,4.0,0.5241,0.4759,1.908,2.101,4.6,0.0569,0.1327,7.1
2015-02-14,2015,Sharks,Cheetahs,29.0,35.0,-6.0,A,0.0,1.21,5.04,0.8064,0.1936,-11.5,47.0,1495.0,1500.0,0.5995,0.4005,1.668,2.497,4.0,0.5241,0.4759,1.908,2.101,4.6,-0.2823,-0.2069,-6.9
2015-02-15,2015,New South Wales Waratahs,Western Force,13.0,25.0,-12.0,A,0.0,1.138,6.83,0.8572,0.1428,-13.5,47.5,1500.0,1498.0,0.6096,0.3904,1.64,2.561,4.4,0.5241,0.4759,1.908,2.101,8.3,-0.3331,-0.2476,-5.2
2015-02-20,2015,Melbourne Rebels,New South Wales Waratahs,28.0,38.0,-10.0,A,0.0,3.84,1.308,0.2541,0.7459,7.5,46.0,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.4536,0.3522,16.8
2015-02-20,2015,Chiefs,Brumbies,19.0,17.0,2.0,H,1.0,1.625,2.44,0.6002,0.3998,-4.0,48.0,1500.0,1541.0,0.5486,0.4514,1.823,2.215,1.9,0.3041,0.6959,3.288,1.437,-2.6,-0.2961,-0.0516,-6.6
2015-02-20,2015,Bulls,Hurricanes,13.0,17.0,-4.0,A,0.0,1.549,2.64,0.6302,0.3698,-4.5,51.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.0775,-0.0239,4.8
2015-02-21,2015,Highlanders,Crusaders,20.0,26.0,-6.0,A,0.0,2.48,1.609,0.3935,0.6065,3.5,49.5,1500.0,1497.0,0.6103,0.3897,1.639,2.566,4.4,0.5241,0.4759,1.908,2.101,8.3,0.1306,0.2168,11.8
2015-02-21,2015,Queensland Reds,Western Force,18.0,6.0,12.0,H,1.0,2.06,1.854,0.4737,0.5263,2.5,37.5,1598.0,1498.0,0.7332,0.2668,1.364,3.748,9.3,0.8188,0.1812,1.221,5.519,16.2,0.3451,0.2595,18.7
2015-02-21,2015,Stormers,Blues,27.0,16.0,11.0,H,1.0,1.392,3.27,0.7014,0.2986,-6.5,42.5,1500.0,1495.0,0.6126,0.3874,1.632,2.581,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.1773,-0.0888,1.8
2015-02-21,2015,Sharks,Lions,29.0,12.0,17.0,H,1.0,1.288,4.03,0.7578,0.2422,-9.5,36.5,1495.0,1500.0,0.5995,0.4005,1.668,2.497,4.0,0.5241,0.4759,1.908,2.101,4.6,-0.2337,-0.1583,-4.9
2015-02-27,2015,Highlanders,Queensland Reds,20.0,13.0,7.0,H,1.0,1.335,3.63,0.7311,0.2689,-7.5,53.5,1500.0,1598.0,0.4667,0.5333,2.143,1.875,-1.3,0.2444,0.7556,4.092,1.323,-5.2,-0.4867,-0.2644,-12.7
2015-02-27,2015,Western Force,Hurricanes,13.0,42.0,-29.0,A,0.0,2.44,1.625,0.3998,0.6002,3.5,44.5,1498.0,1500.0,0.603,0.397,1.658,2.519,4.1,0.5241,0.4759,1.908,2.101,4.6,0.1243,0.2032,8.1
2015-02-27,2015,Cheetahs,Blues,25.0,24.0,1.0,H,1.0,1.645,2.4,0.5933,0.4067,-3.0,51.5,1500.0,1495.0,0.6126,0.3874,1.632,2.581,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.0692,0.0193,5.3
2015-02-28,2015,Chiefs,Crusaders,40.0,16.0,24.0,H,1.0,1.448,2.99,0.6737,0.3263,-5.5,44.5,1500.0,1497.0,0.6103,0.3897,1.639,2.566,4.4,0.5241,0.4759,1.908,2.101,8.3,-0.1496,-0.0634,2.8
2015-02-28,2015,Melbourne Rebels,Brumbies,15.0,20.0,-5.0,A,0.0,3.56,1.344,0.2741,0.7259,7.0,45.5,1500.0,1541.0,0.5486,0.4514,1.823,2.215,1.9,0.3041,0.6959,3.288,1.437,-2.6,0.03,0.2745,4.4
2015-02-28,2015,Bulls,Sharks,43.0,35.0,8.0,H,1.0,1.97,1.934,0.4954,0.5046,2.5,40.0,1500.0,1495.0,0.613,0.387,1.631,2.584,4.5,0.5241,0.4759,1.908,2.101,8.3,0.0287,0.1176,10.8
2015-02-28,2015,Lions,Stormers,19.0,22.0,-3.0,A,0.0,2.71,1.526,0.3602,0.6398,4.5,36.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.3475,0.2461,13.8
2015-03-06,2015,Chiefs,Highlanders,17.0,20.0,-3.0,A,0.0,1.222,4.85,0.7987,0.2013,-10.5,47.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.091,-0.1924,-1.2
2015-03-06,2015,Brumbies,Western Force,27.0,15.0,12.0,H,1.0,1.125,7.38,0.8677,0.1323,-15.5,48.5,1541.0,1498.0,0.6642,0.3358,1.506,2.978,6.6,0.8188,0.1812,1.221,5.519,14.7,-0.0489,-0.2035,-0.8
