Date,Home_Team,Away_Team,Competition,Rankings_Weight,Venue_Country
2010-02-14,Italy,England,Six Nations 2010,0.0,Italy
2010-02-26,Wales,France,Six Nations 2010,0.0,Wales
2010-02-27,Italy,Scotland,Six Nations 2010,0.0,Italy
2010-02-27,Germany,Portugal,Men's Rugby World Cup Qualifying 2011,0.0,Germany
2010-02-27,Georgia,Spain,Men's Rugby World Cup Qualifying 2011,0.0,Georgia
2010-02-27,Russia,Romania,Men's Rugby World Cup Qualifying 2011,0.0,Russian Federation
2010-02-27,Greece,Finland,European Nations Cup 2010,0.0,Greece
2010-02-27,England,Ireland,Six Nations 2010,0.0,England
2010-03-06,Cyprus,Azerbaijan,European Nations Cup 2010,0.0,
2010-03-13,Greece,Luxembourg,European Nations Cup 2010,0.0,
2010-03-13,Romania,Georgia,Men's Rugby World Cup Qualifying 2011,0.0,Romania
2010-03-13,Ireland,Wales,Six Nations 2010,0.0,Ireland
2010-03-13,Russia,Germany,Men's Rugby World Cup Qualifying 2011,0.0,Russian Federation
2010-03-13,Spain,Portugal,Men's Rugby World Cup Qualifying 2011,0.0,Spain
2010-03-13,Scotland,England,Six Nations 2010,0.0,Scotland
2010-03-14,France,Italy,Six Nations 2010,0.0,France
2010-03-20,Wales,Italy,Six Nations 2010,0.0,Wales
2010-03-20,Germany,Spain,Men's Rugby World Cup Qualifying 2011,0.0,Germany
2010-03-20,Georgia,Russia,Men's Rugby World Cup Qualifying 2011,0.0,Turkey
2010-03-20,Portugal,Romania,Men's Rugby World Cup Qualifying 2011,0.0,Portugal
2010-03-20,Ireland,Scotland,Six Nations 2010,0.0,Ireland
2010-03-20,France,England,Six Nations 2010,0.0,France
2010-03-27,Romania,Spain,Men's Rugby World Cup Qualifying 2011,0.0,Romania
2010-03-27,Cyprus,Bosnia & Herzegovina,European Nations Cup 2010,0.0,Cyprus
2010-04-03,Czech Republic,Belgium,Men's Rugby World Cup Qualifying 2011,0.0,
2010-04-03,Armenia,Andorra,European Nations Cup 2010,0.0,
2010-04-10,Czech Republic,Ukraine,Men's Rugby World Cup Qualifying 2011,0.0,Czech Republic
2010-04-10,Armenia,Serbia,European Nations Cup 2010,0.0,
2010-04-10,Israel,Bulgaria,European Nations Cup 2010,0.0,Israel
2010-04-14,Singapore,Malaysia,Asian Five Nations 2010,0.0,Singapore
2010-04-14,Chinese Taipei,Sri Lanka,Asian Five Nations 2010,0.0,Singapore
2010-04-17,Chinese Taipei,Malaysia,Asian Five Nations 2010,0.0,Singapore
2010-04-17,Singapore,Sri Lanka,Asian Five Nations 2010,0.0,Singapore
2010-04-17,Israel,Greece,European Nations Cup 2010,0.0,Israel
2010-04-17,Netherlands,Malta,European Nations Cup 2010,0.0,
2010-04-17,Latvia,Sweden,European Nations Cup 2010,0.0,Latvia
2010-04-24,Croatia,Netherlands,European Nations Cup 2010,0.0,
2010-04-24,Denmark,Austria,European Nations Cup 2010,0.0,
2010-04-24,Malta,Latvia,European Nations Cup 2010,0.0,Malta
2010-04-24,Serbia,Lithuania,European Nations Cup 2010,0.0,
2010-04-24,Moldova,Ukraine,Men's Rugby World Cup Qualifying 2011,0.0,
2010-04-24,Belgium,Poland,Men's Rugby World Cup Qualifying 2011,0.0,Belgium
2010-04-24,Hong Kong,Korea,Men's Rugby World Cup Qualifying 2011,0.0,Hong Kong China
2010-04-24,Kazakhstan,Arabian Gulf,Men's Rugby World Cup Qualifying 2011,0.0,Kazakhstan
2010-04-24,Bulgaria,Greece,European Nations Cup 2010,0.0,
2010-04-30,Arabian Gulf,Hong Kong,Men's Rugby World Cup Qualifying 2011,0.0,Bahrain
2010-05-01,Korea,Japan,Men's Rugby World Cup Qualifying 2011,0.0,Korea
2010-05-01,Sweden,Croatia,European Nations Cup 2010,0.0,Sweden
2010-05-01,Hungary,Norway,European Nations Cup 2010,0.0,Hungary
2010-05-01,Luxembourg,Israel,European Nations Cup 2010,0.0,Luxembourg
2010-05-05,Upolu Samoa,Savai'i Samoa,World Rugby Pacific Challenge 2010,0.0,Samoa
2010-05-06,Tautahi Gold,Tau'uta Reds,World Rugby Pacific Challenge 2010,0.0,Tonga
2010-05-06,Fiji Warriors,Fiji Barbarians,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-08,Andorra,Switzerland,European Nations Cup 2010,0.0,Andorra
2010-05-08,Japan,Arabian Gulf,Men's Rugby World Cup Qualifying 2011,0.0,Japan
2010-05-08,Lithuania,Ukraine,Men's Rugby World Cup Qualifying 2011,0.0,Lithuania
