Date,Home_Team,Away_Team,Home_Odds,Draw_Odds,Away_Odds,Competition,Source
2009-02-13,Highlanders,Brumbies,2.21,20.0,1.64,Data,aussportsbetting.com
2009-02-13,Force,Blues,2.03,19.4,1.78,Data,aussportsbetting.com
2009-02-13,Lions,Cheetahs,1.59,20.2,2.3,Data,aussportsbetting.com
2009-02-14,Bulls,Reds,,,,Data,aussportsbetting.com
2009-02-14,Crusaders,Chiefs,1.32,21.4,3.29,Data,aussportsbetting.com
2009-02-14,Hurricanes,Waratahs,1.37,21.4,3.02,Data,aussportsbetting.com
2009-02-14,Stormers,Sharks,2.02,18.4,1.77,Data,aussportsbetting.com
2009-02-20,Waratahs,Chiefs,,,,Data,aussportsbetting.com
2009-02-20,Hurricanes,Highlanders,,,,Data,aussportsbetting.com
2009-02-20,Force,Cheetahs,,,,Data,aussportsbetting.com
2009-02-21,Sharks,Lions,,,,Data,aussportsbetting.com
2009-02-21,Brumbies,Crusaders,,,,Data,aussportsbetting.com
2009-02-21,Bulls,Blues,,,,Data,aussportsbetting.com
2009-02-27,Crusaders,Hurricanes,,,,Data,aussportsbetting.com
2009-02-27,Waratahs,Highlanders,,,,Data,aussportsbetting.com
2009-02-28,Chiefs,Sharks,,,,Data,aussportsbetting.com
2009-02-28,Brumbies,Force,,,,Data,aussportsbetting.com
2009-02-28,Lions,Bulls,,,,Data,aussportsbetting.com
2009-02-28,Stormers,Blues,,,,Data,aussportsbetting.com
2009-03-01,Reds,Cheetahs,,,,Data,aussportsbetting.com
2009-03-06,Chiefs,Force,,,,Data,aussportsbetting.com
2009-03-06,Waratahs,Reds,,,,Data,aussportsbetting.com
2009-03-07,Bulls,Stormers,1.33,22.0,3.24,Data,aussportsbetting.com
2009-03-07,Blues,Sharks,1.75,18.17,2.06,Data,aussportsbetting.com
2009-03-07,Highlanders,Crusaders,2.82,20.67,1.41,Data,aussportsbetting.com
2009-03-07,Hurricanes,Cheetahs,1.05,33.2,8.15,Data,aussportsbetting.com
2009-03-13,Blues,Cheetahs,1.04,34.5,8.63,Data,aussportsbetting.com
2009-03-13,Brumbies,Waratahs,1.91,18.0,1.89,Data,aussportsbetting.com
2009-03-14,Crusaders,Force,1.56,19.17,2.4,Data,aussportsbetting.com
2009-03-14,Highlanders,Chiefs,2.29,19.5,1.6,Data,aussportsbetting.com
2009-03-14,Reds,Sharks,2.92,20.33,1.4,Data,aussportsbetting.com
2009-03-14,Stormers,Lions,1.26,21.67,3.72,Data,aussportsbetting.com
2009-03-20,Hurricanes,Bulls,1.46,21.0,2.65,Data,aussportsbetting.com
2009-03-21,Lions,Brumbies,2.29,20.0,1.59,Data,aussportsbetting.com
