Year,N_games,N_bets,N_home_bets,N_away_bets,N_real_odds,Flat_ROI%,Flat_PnL,Kelly_ROI%,Kelly_PnL
2015,598,204,135,69,55,6.85,13.97,4.72,13.27
2016,657,225,159,66,57,5.95,13.38,5.96,18.46
2017,574,194,149,45,48,0.15,0.29,0.35,0.97
2018,797,289,217,72,67,-0.5,-1.46,-0.64,-2.51
2019,1695,578,484,94,62,18.41,106.4,17.85,139.29
2020,659,201,167,34,32,0.53,1.06,1.66,4.57
2021,495,148,107,41,19,2.67,3.95,3.59,6.98
2022,813,244,207,37,22,12.94,31.57,12.15,39.55
2023,695,253,215,38,33,10.57,26.75,10.93,36.91
2024,832,251,231,20,31,11.7,29.37,12.75,43.19
2025,1180,395,359,36,40,23.17,91.5,23.66,126.0
