Year,N_games,MAE,RMSE,Winner_Acc,AH_Bets,AH_PnL,AH_ROI%
2015,328,15.28,20.7,0.7378,175,55.99,31.99
2016,306,16.71,22.17,0.7484,168,23.9,14.23
2017,314,16.82,22.02,0.7325,181,53.81,29.73
2018,299,19.15,25.71,0.7224,180,71.99,39.99
2019,295,18.91,24.68,0.7763,155,45.44,29.32
2020,69,14.04,18.96,0.7101,32,2.36,7.38
2021,163,16.96,23.35,0.7485,83,22.0,26.5
2022,204,15.8,21.52,0.7206,103,22.99,22.32
2023,209,17.77,23.62,0.8038,123,18.27,14.85
2024,404,17.69,23.56,0.6411,178,20.54,11.54
2025,1370,15.47,20.52,0.6759,508,62.79,12.36
