,Year,Home_Team,Home_Score,Away_Score,Away_Team,Date,Home_Rating,Away_Rating,Margin,Home_Away_Draw,Prob_Home,Prob_Away,Home_Rating_Updated,Away_Rating_Updated
0,1890,Wales,2,8,Scotland,1 Feb 1890,1500,1500,-6,0.0,0.606,0.394,1452.813294,1547.186706
1,1890,England,0,1,Wales,15 Feb 1890,1500,1452.813294,-1,0.0,0.67,0.33,1481.427384,1470.572616
2,1890,Scotland,5,0,Ireland,22 Feb 1890,1547.186706,1500,5,1.0,0.669,0.331,1570.741117,1476.258883
3,1890,Scotland,0,6,England,1 Mar 1890,1570.741117,1481.427384,-6,0.0,0.72,0.28,1513.975293,1537.024707
4,1890,Ireland,3,3,Wales,1 Mar 1890,1476.258883,1470.572616,0,0.5,0.615,0.385,1476.0,1470.0
5,1890,England,3,0,Ireland,15 Mar 1890,1537.024707,1476.0,3,1.0,0.686,0.314,1554.392262,1458.607738
6,1891,Wales,3,7,England,3 Jan 1891,1470.0,1554.392262,-4,0.0,0.487,0.513,1438.644506,1585.355494
7,1891,Scotland,15,0,Wales,7 Feb 1891,1513.975293,1438.644506,15,1.0,0.703,0.297,1545.889575,1405.110425
8,1891,Ireland,0,9,England,7 Feb 1891,1458.607738,1585.355494,-9,0.0,0.426,0.574,1418.78711,1624.21289
9,1891,Ireland,0,14,Scotland,21 Feb 1891,1418.78711,1545.889575,-14,0.0,0.426,0.574,1371.882063,1591.117937
10,1891,England,3,9,Scotland,7 Mar 1891,1624.21289,1591.117937,-6,0.0,0.651,0.349,1573.366206,1641.633794
11,1891,Wales,6,4,Ireland,7 Mar 1891,1405.110425,1371.882063,2,1.0,0.652,0.348,1420.294436,1355.705564
12,1891,South Africa,0,4,Britain,30 Jul 1891,1500,1500,-4,0.0,0.606,0.394,1460.972467,1539.027533
13,1891,South Africa,0,3,Britain,29 Aug 1891,1460.972467,1539.027533,-3,0.0,0.494,0.506,1432.593161,1566.406839
14,1891,South Africa,0,4,Britain,5 Sep 1891,1432.593161,1566.406839,-4,0.0,0.416,0.584,1405.223405,1592.776595
15,1892,England,17,0,Wales,2 Jan 1892,1573.366206,1420.294436,17,1.0,0.788,0.212,1597.512403,1395.487597
16,1892,England,7,0,Ireland,6 Feb 1892,1597.512403,1355.705564,7,1.0,0.861,0.139,1608.546182,1343.453818
17,1892,Wales,2,7,Scotland,6 Feb 1892,1395.487597,1641.633794,-5,0.0,0.272,0.728,1375.499574,1660.500426
18,1892,Scotland,2,0,Ireland,20 Feb 1892,1660.500426,1343.453818,2,1.0,0.905,0.095,1664.16385,1338.83615
19,1892,Scotland,0,5,England,5 Mar 1892,1664.16385,1608.546182,-5,0.0,0.68,0.32,1615.267055,1656.732945
20,1892,Ireland,9,0,Wales,5 Mar 1892,1338.83615,1375.499574,9,1.0,0.554,0.446,1379.032855,1333.967145
21,1893,Wales,12,11,England,7 Jan 1893,1333.967145,1656.732945,1,1.0,0.193,0.807,1355.367924,1633.632076
22,1893,Scotland,0,9,Wales,4 Feb 1893,1615.267055,1355.367924,-9,0.0,0.873,0.127,1534.614187,1435.385813
23,1893,Ireland,0,4,England,4 Feb 1893,1379.032855,1633.632076,-4,0.0,0.263,0.737,1362.064727,1649.935273
24,1893,Ireland,0,0,Scotland,18 Feb 1893,1362.064727,1534.614187,0,0.5,0.364,0.636,1362.0,1534.0
25,1893,England,0,8,Scotland,4 Mar 1893,1649.935273,1534.0,-8,0.0,0.749,0.251,1583.178756,1599.821244
26,1893,Wales,2,0,Ireland,11 Mar 1893,1435.385813,1362.0,2,1.0,0.701,0.299,1448.137996,1348.862004
27,1894,England,24,3,Wales,6 Jan 1894,1583.178756,1448.137996,21,1.0,0.77,0.23,1611.418659,1419.581341
28,1894,England,5,7,Ireland,3 Feb 1894,1611.418659,1348.862004,-2,0.0,0.875,0.125,1572.562758,1386.437242
29,1894,Wales,7,0,Scotland,3 Feb 1894,1419.581341,1599.821244,7,1.0,0.353,0.647,1472.795575,1545.204425
30,1894,Ireland,5,0,Scotland,24 Feb 1894,1386.437242,1545.204425,5,1.0,0.381,0.619,1430.338938,1500.661062
31,1894,Ireland,3,0,Wales,10 Mar 1894,1430.338938,1472.795575,3,1.0,0.547,0.453,1455.099248,1446.900752
32,1894,Scotland,6,0,England,17 Mar 1894,1500.661062,1572.562758,6,1.0,0.504,0.496,1538.582013,1533.417987
33,1895,Wales,6,14,England,5 Jan 1895,1446.900752,1533.417987,-8,0.0,0.483,0.517,1403.572028,1575.427972
34,1895,Scotland,5,4,Wales,26 Jan 1895,1538.582013,1403.572028,1,1.0,0.77,0.23,1544.372709,1396.627291
35,1895,Ireland,3,6,England,2 Feb 1895,1455.099248,1575.427972,-3,0.0,0.436,0.564,1430.84382,1599.15618
36,1895,Scotland,6,0,Ireland,2 Mar 1895,1544.372709,1430.84382,6,1.0,0.748,0.252,1563.610389,1410.389611
37,1895,England,3,6,Scotland,9 Mar 1895,1599.15618,1563.610389,-3,0.0,0.655,0.345,1562.710803,1599.289197
38,1895,Wales,5,3,Ireland,16 Mar 1895,1396.627291,1410.389611,2,1.0,0.587,0.413,1414.152254,1391.847746
39,1896,England,25,0,Wales,4 Jan 1896,1562.710803,1414.152254,25,1.0,0.783,0.217,1590.262912,1385.737088
40,1896,Wales,6,0,Scotland,25 Jan 1896,1385.737088,1599.289197,6,1.0,0.31,0.69,1438.716882,1545.283118
41,1896,England,4,10,Ireland,1 Feb 1896,1590.262912,1391.847746,-6,0.0,0.829,0.171,1525.507092,1455.492908
42,1896,Ireland,0,0,Scotland,15 Feb 1896,1455.492908,1545.283118,0,0.5,0.478,0.522,1455.0,1545.0
43,1896,Scotland,11,0,England,14 Mar 1896,1545.0,1525.507092,11,1.0,0.633,0.367,1581.433487,1488.566513
44,1896,Ireland,8,4,Wales,14 Mar 1896,1455.0,1438.716882,4,1.0,0.629,0.371,1478.856239,1414.143761
45,1896,South Africa,0,8,Britain,30 Jul 1896,1405.223405,1592.776595,-8,0.0,0.344,0.656,1374.746129,1622.253871
46,1896,South Africa,8,17,Britain,22 Aug 1896,1374.746129,1622.253871,-9,0.0,0.27,0.73,1349.149483,1646.850517
47,1896,South Africa,3,9,Britain,29 Aug 1896,1349.149483,1646.850517,-6,0.0,0.218,0.782,1332.034942,1662.965058
48,1896,South Africa,5,0,Britain,5 Sep 1896,1332.034942,1662.965058,5,1.0,0.187,0.813,1390.265783,1603.734217
49,1897,Wales,11,0,England,9 Jan 1897,1414.143761,1488.566513,11,1.0,0.501,0.499,1463.555026,1438.444974
50,1897,Ireland,13,9,England,6 Feb 1897,1478.856239,1438.444974,4,1.0,0.66,0.34,1499.903974,1416.096026
51,1897,Scotland,8,3,Ireland,20 Feb 1897,1581.433487,1499.903974,5,1.0,0.712,0.288,1601.65698,1478.34302
52,1897,England,12,3,Scotland,13 Mar 1897,1416.096026,1601.65698,9,1.0,0.347,0.653,1476.171906,1540.828094
53,1898,England,6,9,Ireland,5 Feb 1898,1476.171906,1478.34302,-3,0.0,0.604,0.396,1442.53599,1511.46401
54,1898,Ireland,0,8,Scotland,19 Feb 1898,1511.46401,1540.828094,-8,0.0,0.566,0.434,1461.274052,1589.725948
55,1898,Scotland,3,3,England,12 Mar 1898,1589.725948,1442.53599,0,0.5,0.782,0.218,1589.0,1442.0
56,1898,Ireland,3,11,Wales,19 Mar 1898,1461.274052,1463.555026,-8,0.0,0.604,0.396,1407.960799,1516.039201
57,1898,England,14,7,Wales,2 Apr 1898,1442.0,1516.039201,7,1.0,0.501,0.499,1483.469075,1474.530925
58,1899,Wales,26,3,England,7 Jan 1899,1474.530925,1483.469075,23,1.0,0.594,0.406,1525.625573,1431.374427
59,1899,Ireland,6,0,England,4 Feb 1899,1407.960799,1431.374427,6,1.0,0.573,0.427,1440.243887,1397.756113
60,1899,Scotland,3,9,Ireland,18 Feb 1899,1589.0,1440.243887,-6,0.0,0.784,0.216,1527.987834,1501.012166
61,1899,Scotland,21,10,Wales,4 Mar 1899,1527.987834,1525.625573,11,1.0,0.609,0.391,1565.856848,1486.143152
62,1899,England,0,5,Scotland,11 Mar 1899,1397.756113,1565.856848,-5,0.0,0.369,0.631,1370.531154,1591.468846
63,1899,Wales,0,3,Ireland,18 Mar 1899,1486.143152,1501.012166,-3,0.0,0.585,0.415,1453.535583,1533.464417
64,1899,Australia,13,3,Britain,24 Jun 1899,1500,1603.734217,10,1.0,0.46,0.54,1551.816404,1551.183596
65,1899,Australia,0,11,Britain,22 Jul 1899,1551.816404,1551.183596,-11,0.0,0.606,0.394,1490.743077,1611.256923
66,1899,Australia,10,11,Britain,5 Aug 1899,1490.743077,1611.256923,-1,0.0,0.434,0.566,1477.961121,1623.038879
67,1899,Australia,0,13,Britain,12 Aug 1899,1477.961121,1623.038879,-13,0.0,0.399,0.601,1434.853375,1665.146625
68,1900,England,3,13,Wales,6 Jan 1900,1370.531154,1453.535583,-10,0.0,0.488,0.512,1323.145681,1499.854319
69,1900,Wales,12,3,Scotland,27 Jan 1900,1499.854319,1591.468846,9,1.0,0.476,0.524,1547.304286,1542.695714
70,1900,England,15,4,Ireland,3 Feb 1900,1323.145681,1533.464417,11,1.0,0.315,0.685,1391.103825,1464.896175
71,1900,Ireland,0,0,Scotland,24 Feb 1900,1464.896175,1542.695714,0,0.5,0.496,0.504,1464.0,1542.0
72,1900,Scotland,0,0,England,10 Mar 1900,1542.0,1391.103825,0,0.5,0.786,0.214,1542.0,1391.0
73,1900,Ireland,0,3,Wales,17 Mar 1900,1464.0,1547.304286,-3,0.0,0.488,0.512,1436.912129,1574.087871
74,1901,Wales,13,0,England,5 Jan 1901,1574.087871,1391.0,13,1.0,0.815,0.185,1593.486299,1371.513701
75,1901,Scotland,18,8,Wales,9 Feb 1901,1542.0,1593.486299,10,1.0,0.534,0.466,1586.64895,1548.35105
76,1901,Ireland,10,6,England,9 Feb 1901,1436.912129,1371.513701,4,1.0,0.691,0.309,1455.873995,1351.126005
