Year,Home_Team,Home_Score,Away_Score,Away_Team,Date
1893,Wales,12,11,England,1/7/1893
1893,Scotland,0,9,Wales,2/4/1893
1893,Ireland,0,4,England,2/4/1893
1893,Ireland,0,0,Scotland,2/20/1893
1893,England,0,8,Scotland,3/4/1893
1893,Wales,2,0,Ireland,3/11/1893
1894,England,24,3,Wales,1/6/1894
1894,Wales,7,0,Scotland,2/3/1894
1894,England,5,7,Ireland,2/3/1894
1894,Ireland,5,0,Scotland,2/24/1894
1894,Ireland,3,0,Wales,3/10/1894
1894,Scotland,6,0,England,3/17/1894
1895,Wales,6,14,England,1/5/1895
1895,Scotland,5,4,Wales,1/26/1895
1895,Ireland,3,6,England,2/2/1895
1895,Scotland,6,0,Ireland,3/2/1895
1895,England,3,6,Scotland,3/9/1895
1895,Wales,5,3,Ireland,3/16/1895
1896,England,25,0,Wales,1/4/1896
1896,Wales,6,0,Scotland,1/25/1896
1896,England,4,10,Ireland,2/1/1896
1896,Ireland,0,0,Scotland,2/15/1896
1896,Scotland,11,0,England,3/14/1896
1896,Ireland,8,4,Wales,3/14/1896
1896,Cape Town Clubs,9,14,British & Irish Lions,7/11/1896
1896,Cape Town Suburbs,0,8,British & Irish Lions,7/13/1896
1896,Western Province,0,0,British & Irish Lions,7/15/1896
1896,Griqualand West,9,11,British & Irish Lions,7/18/1896
1896,Griqualand West,0,16,British & Irish Lions,7/22/1896
1896,Port Elizabeth,3,26,British & Irish Lions,7/25/1896
1896,Eastern Province,0,18,British & Irish Lions,7/28/1896
1896,South Africa,0,8,British & Irish Lions,7/30/1896
1896,Grahamstown,0,20,British & Irish Lions,8/1/1896
1896,King William's Town,0,25,British & Irish Lions,8/4/1896
1896,East London,0,17,British & Irish Lions,8/6/1896
1896,Queenstown,0,25,British & Irish Lions,8/8/1896
1896,Johannesburg Country,0,7,British & Irish Lions,8/12/1896
1896,Transvaal,3,16,British & Irish Lions,8/15/1896
1896,Johannesburg Town,0,18,British & Irish Lions,8/17/1896
1896,Transvaal,5,16,British & Irish Lions,8/19/1896
1896,South Africa,8,17,British & Irish Lions,8/22/1896
1896,Cape Colony,0,7,British & Irish Lions,8/26/1896
1896,South Africa,3,9,British & Irish Lions,8/29/1896
1896,Western Province,0,32,British & Irish Lions,9/3/1896
1896,South Africa,5,0,British & Irish Lions,9/5/1896
1897,Wales,11,0,England,1/9/1897
1897,Ireland,13,9,England,2/6/1897
1897,Scotland,8,3,Ireland,2/20/1897
1897,England,12,3,Scotland,3/13/1897
1898,England,6,9,Ireland,2/5/1898
1898,Ireland,0,8,Scotland,2/19/1898
1898,Scotland,3,3,England,3/12/1898
1898,Ireland,3,11,Wales,3/19/1898
1898,England,14,7,Wales,4/2/1898
1899,Wales,26,3,England,1/7/1899
1899,Ireland,6,0,England,2/4/1899
1899,Scotland,3,9,Ireland,2/18/1899
1899,Scotland,21,10,Wales,3/4/1899
1899,England,0,5,Scotland,3/11/1899
1899,Wales,0,3,Ireland,3/18/1899
1899,Australia,13,3,British & Irish Lions,6/24/1899
1899,Australia,0,11,British & Irish Lions,7/22/1899
1899,Australia,10,11,British & Irish Lions,8/5/1899
1899,Australia,0,13,British & Irish Lions,8/12/1899
1900,England,3,13,Wales,1/6/1900
1900,Wales,12,3,Scotland,1/27/1900
1900,England,15,4,Ireland,2/3/1900
1900,Ireland,0,0,Scotland,2/24/1900
1900,Scotland,0,0,England,3/10/1900
1900,Ireland,0,3,Wales,3/17/1900
1901,Wales,13,0,England,1/5/1901
1901,Scotland,18,8,Wales,2/9/1901
1901,Ireland,10,6,England,2/9/1901
1901,Scotland,9,5,Ireland,2/23/1901
1901,England,3,18,Scotland,3/9/1901
1901,Wales,10,9,Ireland,3/16/1901
1902,England,8,9,Wales,1/11/1902
1902,Wales,14,5,Scotland,2/1/1902
1902,England,6,3,Ireland,2/8/1902
1902,Ireland,5,0,Scotland,2/22/1902
1902,Ireland,0,15,Wales,3/8/1902
1902,Scotland,3,6,England,3/15/1902
1903,Wales,21,5,England,1/10/1903
1903,Scotland,6,0,Wales,2/7/1903
1903,Ireland,6,0,England,2/14/1903
1903,Scotland,3,0,Ireland,2/28/1903
1903,Wales,18,0,Ireland,3/14/1903
1903,England,6,10,Scotland,3/21/1903
1903,Western Province Country,13,7,British & Irish Lions,7/9/1903
1903,Western Province Town,12,3,British & Irish Lions,7/11/1903
1903,Western Province,8,4,British & Irish Lions,7/13/1903
1903,Port Elizabeth,0,15,British & Irish Lions,7/18/1903
1903,Eastern Province,0,12,British & Irish Lions,7/20/1903
1903,Grahamstown,7,28,British & Irish Lions,7/22/1903
1903,King William's Town,3,37,British & Irish Lions,7/25/1903
1903,East London,5,7,British & Irish Lions,7/27/1903
1903,Griqualand West,11,0,British & Irish Lions,8/1/1903
1903,Griqualand West,8,6,British & Irish Lions,8/4/1903
1903,Transvaal,12,3,British & Irish Lions,8/8/1903
1903,Pretoria,3,15,British & Irish Lions,8/11/1903
1903,Pietermaritzburg,0,15,British & Irish Lions,8/13/1903
1903,Durban,0,22,British & Irish Lions,8/15/1903
1903,Australia,3,22,New Zealand,8/15/1903
1903,Witwatersrand,0,12,British & Irish Lions,8/19/1903
1903,Transvaal,14,4,British & Irish Lions,8/22/1903
1903,South Africa,10,10,British & Irish Lions,8/26/1903
1903,Orange River Colony,16,17,British & Irish Lions,8/29/1903
1903,Griqualand West,5,1,British & Irish Lions,9/2/1903
1903,South Africa,0,0,British & Irish Lions,9/5/1903
1903,Western Province,3,3,British & Irish Lions,9/10/1903
1903,South Africa,8,0,British & Irish Lions,9/12/1903
1904,England,14,14,Wales,1/9/1904
1904,Wales,21,3,Scotland,2/6/1904
1904,England,19,0,Ireland,2/13/1904
1904,Ireland,3,19,Scotland,2/27/1904
1904,Ireland,14,12,Wales,3/12/1904
1904,Scotland,6,3,England,3/19/1904
1904,Australia,0,17,British & Irish Lions,7/2/1904
1904,Australia,3,17,British & Irish Lions,7/23/1904
1904,Australia,0,16,British & Irish Lions,7/30/1904
1904,New Zealand,9,3,British & Irish Lions,8/13/1904
1905,Wales,25,0,England,1/14/1905
1905,Scotland,3,6,Wales,2/4/1905
1905,Ireland,17,3,England,2/11/1905
1905,Scotland,5,11,Ireland,2/25/1905
1905,Wales,10,3,Ireland,3/11/1905
1905,England,0,8,Scotland,3/18/1905
1905,New Zealand,14,3,Australia,9/2/1905
1905,Devon,4,55,New Zealand,9/16/1905
1905,Cornwall,0,41,New Zealand,9/21/1905
1905,Bristol Rugby,0,41,New Zealand,9/23/1905
1905,Northampton Saints,0,32,New Zealand,9/28/1905
1905,Leicester Tigers,0,28,New Zealand,9/30/1905
1905,Middlesex,0,34,New Zealand,10/4/1905
1905,Durham,3,16,New Zealand,10/7/1905
1905,Hartlepool Clubs,0,63,New Zealand,10/11/1905
1905,Northumberland,0,31,New Zealand,10/14/1905
1905,Gloucester Rugby,0,44,New Zealand,10/19/1905
1905,Somerset,0,23,New Zealand,10/21/1905
1905,Devonport Albion,3,21,New Zealand,10/25/1905
1905,Midland Counties,5,21,New Zealand,10/28/1905
1905,Surrey,0,11,New Zealand,11/1/1905
1905,Blackheath,0,32,New Zealand,11/4/1905
1905,Oxford University,0,47,New Zealand,11/7/1905
1905,Cambridge University,0,14,New Zealand,11/9/1905
1905,Richmond,0,17,New Zealand,11/11/1905
1905,Bedford Blues,0,41,New Zealand,11/15/1905
1905,Scotland,7,12,New Zealand,11/18/1905
1905,West of Scotland,0,22,New Zealand,11/22/1905
1905,Ireland,0,15,New Zealand,11/25/1905
1905,Munster,0,33,New Zealand,11/28/1905
1905,England,0,15,New Zealand,12/2/1905
1905,Cheltenham,0,18,New Zealand,12/6/1905
1905,Cheshire,0,34,New Zealand,12/9/1905
1905,Yorkshire,0,40,New Zealand,12/13/1905
1905,Wales,3,0,New Zealand,12/16/1905
1905,Glamorgan,0,9,New Zealand,12/20/1905
1905,Newport,3,6,New Zealand,12/23/1905
1905,Cardiff,8,10,New Zealand,12/26/1905
1905,Swansea,3,4,New Zealand,12/30/1905
1906,France,8,38,New Zealand,1/1/1906
1906,England,3,16,Wales,1/13/1906
1906,Wales,9,3,Scotland,2/3/1906
1906,England,6,16,Ireland,2/10/1906
1906,British Columbia,6,43,New Zealand,2/10/1906
1906,British Columbia,6,65,New Zealand,2/13/1906
1906,Ireland,6,13,Scotland,2/24/1906
1906,Ireland,11,6,Wales,3/10/1906
1906,Scotland,3,9,England,3/17/1906
1906,East Midlands,0,37,South Africa,9/27/1906
1906,Midland Counties,0,29,South Africa,9/29/1906
1906,Kent,0,21,South Africa,10/3/1906
1906,Durham,4,22,South Africa,10/6/1906
1906,Northumberland,0,44,South Africa,10/10/1906
1906,Yorkshire,0,34,South Africa,10/13/1906
1906,Devon,6,22,South Africa,10/17/1906
1906,Somerset,0,14,South Africa,10/20/1906
1906,Middlesex,0,9,South Africa,10/24/1906
1906,Newport,0,8,South Africa,10/27/1906
1906,Glamorgan,3,6,South Africa,10/31/1906
1906,Gloucestershire,0,23,South Africa,11/3/1906
1906,Oxford University,3,24,South Africa,11/7/1906
1906,Cambridge University,0,29,South Africa,11/10/1906
1906,South of Scotland,5,32,South Africa,11/13/1906
1906,Scotland,6,0,South Africa,11/17/1906
1906,North of Scotland,3,35,South Africa,11/20/1906
1906,Ireland,12,15,South Africa,11/24/1906
1906,Dublin University,3,28,South Africa,11/27/1906
1906,Wales,0,11,South Africa,12/1/1906
1906,England,3,3,South Africa,12/8/1906
1906,Lancashire,8,11,South Africa,12/12/1906
1906,Cumberland,0,21,South Africa,12/15/1906
1906,Surrey,0,33,South Africa,12/19/1906
1906,Cornwall,3,9,South Africa,12/22/1906
1906,Monmouthshire,0,17,South Africa,12/26/1906
1906,Llanelli,3,16,South Africa,12/29/1906
1907,Cardiff,17,0,South Africa,1/1/1907
1907,Wales,22,0,England,1/12/1907
1907,Scotland,6,3,Wales,2/2/1907
1907,Ireland,17,9,England,2/9/1907
1907,Scotland,15,3,Ireland,2/23/1907
1907,Wales,29,0,Ireland,3/9/1907
1907,England,3,8,Scotland,3/16/1907
1907,Wellington Province,6,19,New Zealand,7/6/1907
1907,New South Wales,3,11,New Zealand,7/13/1907
1907,New South Wales,14,0,New Zealand,7/17/1907
1907,Australia,6,26,New Zealand,7/20/1907
1907,Queensland,3,23,New Zealand,7/24/1907
1907,Queensland,11,17,New Zealand,7/27/1907
1907,Australia,5,14,New Zealand,8/3/1907
1907,Australia,5,5,New Zealand,8/10/1907
1908,England,18,28,Wales,1/18/1908
1908,Wales,6,5,Scotland,2/1/1908
1908,England,13,3,Ireland,2/8/1908
1908,Ireland,16,11,Scotland,2/29/1908
1908,Ireland,5,11,Wales,3/14/1908
1908,Scotland,16,10,England,3/21/1908
1908,New Zealand,32,5,British & Irish Lions,6/6/1908
1908,New Zealand,3,3,British & Irish Lions,6/27/1908
1908,New Zealand,29,0,British & Irish Lions,7/25/1908
1908,Wales,9,6,Australia,12/12/1908
1909,England,3,9,Australia,1/9/1909
