Team,ELO
South Africa,2781
New Zealand,2606
Ireland,2566
France,2508
Argentina,2356
Scotland,2343
England,2337
British & Irish Lions,2290
Fiji,2251
New Zealand Maori,2212
Australia,2176
All Blacks XV,2101
Italy,2095
Junior All Blacks,2083
Australia A,2036
Georgia,2015
Barbarians,2014
England A,1991
Canterbury,1986
Maori All Blacks,1982
Wales,1976
Japan,1971
England Saxons,1966
Ireland A,1958
Ealing Trailfinders,1930
Argentina Jaguars,1924
Otago,1917
Emerging Ireland,1911
Argentina XV,1910
Portugal,1910
Emerging South Africa,1904
Leicester Tigers,1892
Zimbabwe,1886
World XV,1876
Glasgow Warriors,1865
France A,1857
Uruguay,1857
RC Vannes,1848
French Selection,1847
Scotland A,1839
Sydney,1834
Saitama Wild Knights,1832
South Africa A,1827
Kubota Spears,1824
Fiji Warriors,1812
England U23,1811
South Africa U23,1805
Stade Toulousain,1805
Northampton Saints,1804
New South Wales,1801
Hurricanes,1793
Union Bordeaux-Begles,1793
Exeter Chiefs,1792
Bath Rugby,1789
Llanelli,1788
Leinster,1787
Queensland,1785
South America XV,1785
England B,1779
USA,1779
Pampas XV,1776
New Zealand Cavaliers,1765
Mali,1763
Spain,1762
Japan XV,1759
Wales B,1756
Montpellier Herault Rugby Club,1749
Kobelco Kobe Steelers,1747
Stade Francais Paris,1742
Bay of Plenty,1742
Senegal A,1742
Qatar,1741
Samoa,1739
Cardiff,1738
ACT,1737
Chile,1735
USA South,1732
Hawke's Bay,1730
Canada West,1727
French Barbarians,1727
Northern Transvaal,1725
Hurricanes Development XV,1723
Cote Basque-Landes,1723
South African Kings,1719
Blues,1713
Coventry,1707
Czechia,1705
Argentina A,1702
Pampas,1699
Italy A,1696
Chiefs,1696
Toyota Industries Shuttles,1695
Transvaal,1694
SA President's XV,1693
South Africa Invitational XV,1693
Counties Manukau,1693
Buenos Aires,1692
Crusaders,1689
Ireland XV,1688
Northern Division,1682
New Zealand A,1681
Tonga,1679
Midland Counties,1675
Algeria,1674
Junior Springboks,1671
New Zealand Divisional XV,1670
CA Brive,1670
Golden Lions,1670
Taranaki,1669
Colomiers,1668
Belgium,1668
Namibia,1666
Worcester Warriors,1665
Australian Barbarians,1665
Chiefs Development XV,1664
Hanazono Kinetsu Liners,1662
Uruguay XV,1661
Sharks,1660
Bedford Blues,1660
Stormers,1660
South American Jaguars,1659
SA Gazelles,1657
Lebanon,1657
North of England,1655
Griquas,1653
Northern Provinces,1651
French Universities,1648
Swansea,1648
Connacht,1640
Dogos,1638
English National Divisons XV,1637
Malta,1635
Ulster,1631
Bulls,1631
Western Province Town,1630
Crusaders Knights,1628
Free State,1627
Shimizu Blue Sharks,1626
South East Transvaal,1623
Poland,1623
Waikato,1621
Trinidad & Tobago,1616
Black Rams Tokyo,1613
Northern Universities,1612
British XV,1610
Queensland Reds,1610
North East Counties,1609
Impala,1607
French Army,1607
New Zealand Academy,1607
Western Province Town & Country,1607
Cardiff Blues,1606
Chile XV,1606
North Auckland,1605
Eastern Fiji Select,1604
Scotland Development XV,1604
Sweden,1603
New Zealand Vikings,1603
Blues Development XV,1602
London,1601
Democratic Republic of Congo A,1600
Czech Republic,1600
Hong Kong,1600
Ireland U25 XV,1598
Uruguay A,1598
Suva-Rewa XV,1596
Edinburgh,1594
Highlanders Development XV,1591
Niger,1591
Mexico,1589
Monmouthshire,1587
Emerging Italy,1587
Section Paloise,1587
Bourg,1587
Hong Kong China,1587
Emerging England,1585
Banco Nación,1584
Penguin International RFC,1583
Romania XV,1583
Western Province / South Western Districts / Boland,1583
Wales A,1583
Fiji B,1581
Midlands & North of England,1581
Glamorgan Wanderers,1578
Anglo-Scots,1578
Western Province Universities,1577
Glasgow,1576
Atlantique,1576
San Juan,1575
Languedoc,1575
Benetton Rugby,1575
Provence / Litoral,1575
East Glamorgan,1575
Chinnor,1573
West Hartlepool,1573
London Counties,1573
French Regional XV,1573
Brumbies,1571
Cape Colony,1571
Lions,1570
South Africa Combined Services,1570
Savai'i Samoa,1570
Transvaal Colleges,1569
South Island Divisional XV,1569
South & South West Division,1567
Australia XV,1566
South of Scotland,1566
West Glamorgan,1565
England XV,1565
South West,1564
Anthem Rugby Carolina,1564
Provence-Cote d'Azur,1564
Leeds Carnegie,1562
