Team,xWins,Wins,Performance
New Zealand,412.2040000000002,1054.5,642.2959999999998
South Africa,354.08999999999975,648.0,293.91000000000025
British & Irish Lions,135.10800000000003,355.0,219.89199999999997
Australia,490.7229999999997,619.5,128.77700000000033
France,474.0920000000001,555.0,80.9079999999999
England,465.73900000000015,523.0,57.260999999999854
New Zealand Maori,58.23699999999997,95.5,37.26300000000003
Wales,451.60200000000015,469.5,17.897999999999854
Romania,262.6630000000001,279.5,16.836999999999875
Argentina XV,42.098000000000006,58.0,15.901999999999994
Argentina Jaguars,17.564,28.0,10.436
Stade Toulousain,30.374,40.5,10.126000000000001
Bath Rugby,30.095000000000002,40.0,9.904999999999998
Union Bordeaux-Begles,28.51899999999999,38.0,9.481000000000009
Fiji Warriors,53.34799999999999,62.5,9.152000000000008
Leinster,28.452,37.5,9.047999999999998
Ealing Trailfinders,11.767999999999999,20.0,8.232000000000001
Argentina,325.95099999999974,333.5,7.549000000000262
Junior All Blacks,9.073999999999998,16.5,7.426000000000002
Maori All Blacks,8.649999999999999,16.0,7.350000000000001
Canterbury,19.662,27.0,7.338000000000001
Kubota Spears,13.834999999999997,20.5,6.665000000000003
England U23,4.344,11.0,6.656
Scotland A,16.189,22.5,6.311
France A,15.802,22.0,6.198
Kobelco Kobe Steelers,12.867000000000003,19.0,6.132999999999997
England Saxons,9.306,15.0,5.694000000000001
Colomiers,21.658,27.0,5.341999999999999
Australia A,10.729,16.0,5.271000000000001
French Selection,9.609,14.5,4.891
Chiefs,13.153,18.0,4.8469999999999995
Saitama Wild Knights,13.689999999999998,18.5,4.810000000000002
Sydney,6.237999999999999,11.0,4.762000000000001
Buenos Aires,1.8039999999999998,6.5,4.696
South Africa A,2.856,7.5,4.644
Qatar,11.624999999999998,16.0,4.375000000000002
Otago,16.662000000000003,21.0,4.337999999999997
Glasgow Warriors,22.767999999999997,27.0,4.232000000000003
South Africa U23,5.8469999999999995,10.0,4.1530000000000005
CA Brive,21.651,25.5,3.849
Free State,6.219,10.0,3.7809999999999997
Hawke's Bay,11.281999999999998,15.0,3.7180000000000017
ACT,4.84,8.5,3.66
Llanelli,5.4270000000000005,9.0,3.5729999999999995
New South Wales,21.029,24.5,3.471
Transvaal,9.529,13.0,3.471
Emerging South Africa,4.0760000000000005,7.5,3.4239999999999995
Crusaders,13.708999999999998,17.0,3.291000000000002
Lebanon,12.224999999999998,15.5,3.275000000000002
