Year,Home_Team,Home_Score,Away_Score,Away_Team,Date
2003,Munster,37,17,Neath,2/1/2003
2003,Neath–Swansea Ospreys,41,30,Ulster,9/5/2003
2003,Glasgow,23,13,Cardiff Blues,9/5/2003
2003,Borders,12,49,Celtic Warriors,9/5/2003
2003,Leinster,8,15,Munster,9/5/2003
2003,Connacht,11,3,Edinburgh,9/6/2003
2003,Llanelli Scarlets,35,11,Newport Gwent Dragons,9/6/2003
2003,Newport Gwent Dragons,29,19,Neath–Swansea Ospreys,9/12/2003
2003,Edinburgh,53,7,Borders,9/12/2003
2003,Munster,12,19,Llanelli Scarlets,9/12/2003
2003,Ulster,33,6,Glasgow,9/12/2003
2003,Celtic Warriors,29,22,Leinster,9/13/2003
2003,Cardiff Blues,33,17,Connacht,9/13/2003
2003,Llanelli Scarlets,27,22,Celtic Warriors,9/26/2003
2003,Leinster,30,33,Edinburgh,9/26/2003
2003,Borders,22,20,Cardiff Blues,9/26/2003
2003,Ulster,37,18,Newport Gwent Dragons,9/26/2003
2003,Glasgow,19,30,Connacht,9/26/2003
2003,Neath–Swansea Ospreys,33,26,Munster,9/27/2003
2003,Cardiff Blues,22,3,Leinster,10/10/2003
2003,Edinburgh,25,16,Llanelli Scarlets,10/10/2003
2003,Munster,15,16,Ulster,10/10/2003
2003,Celtic Warriors,22,32,Neath–Swansea Ospreys,10/11/2003
2003,Connacht,42,19,Borders,10/11/2003
2003,Newport Gwent Dragons,27,5,Glasgow,10/12/2003
2003,Newport Gwent Dragons,29,6,Munster,10/17/2003
2003,Glasgow,26,25,Borders,10/17/2003
2003,Neath–Swansea Ospreys,42,18,Edinburgh,10/17/2003
2003,Ulster,26,20,Celtic Warriors,10/17/2003
2003,Leinster,21,6,Connacht,10/17/2003
2003,Llanelli Scarlets,35,20,Cardiff Blues,10/18/2003
2003,Connacht,20,25,Llanelli Scarlets,10/24/2003
2003,Celtic Warriors,19,12,Newport Gwent Dragons,10/24/2003
2003,Munster,26,10,Glasgow,10/24/2003
2003,Borders,21,26,Leinster,10/24/2003
2003,Edinburgh,3,41,Ulster,10/24/2003
2003,Cardiff Blues,43,6,Neath–Swansea Ospreys,10/25/2003
2003,Neath–Swansea Ospreys,22,33,Connacht,10/31/2003
2003,Glasgow,10,31,Leinster,10/31/2003
2003,Munster,22,21,Celtic Warriors,10/31/2003
2003,Ulster,32,7,Cardiff Blues,10/31/2003
2003,Llanelli Scarlets,36,20,Borders,11/1/2003
2003,Newport Gwent Dragons,34,22,Edinburgh,11/1/2003
2003,Cardiff Blues,13,25,Newport Gwent Dragons,11/7/2003
2003,Celtic Warriors,29,23,Glasgow,11/7/2003
2003,Edinburgh,20,9,Munster,11/7/2003
2003,Borders,22,16,Neath–Swansea Ospreys,11/7/2003
2003,Leinster,31,20,Llanelli Scarlets,11/7/2003
2003,Connacht,31,20,Ulster,11/8/2003
2003,Newport Gwent Dragons,28,19,Connacht,11/23/2003
2003,Celtic Warriors,19,30,Edinburgh,11/28/2003
2003,Glasgow,18,31,Llanelli Scarlets,11/28/2003
2003,Munster,31,10,Cardiff Blues,11/28/2003
2003,Ulster,46,5,Borders,11/28/2003
2003,Neath–Swansea Ospreys,25,36,Leinster,11/29/2003
2003,Glasgow,16,25,Edinburgh,12/27/2003
2003,Cardiff Blues,10,26,Celtic Warriors,12/27/2003
2004,Borders,15,38,Newport Gwent Dragons,1/2/2004
2004,Connacht,0,3,Munster,1/2/2004
2004,Llanelli Scarlets,28,15,Neath–Swansea Ospreys,1/2/2004
2004,Leinster,32,30,Ulster,1/2/2004
2004,Newport Gwent Dragons,35,14,Leinster,2/6/2004
2004,Neath–Swansea Ospreys,33,11,Glasgow,2/6/2004
2004,Edinburgh,10,50,Cardiff Blues,2/6/2004
2004,Munster,29,21,Borders,2/6/2004
2004,Ulster,10,9,Llanelli Scarlets,2/6/2004
2004,Celtic Warriors,40,17,Connacht,2/7/2004
2004,Newport Gwent Dragons,15,9,Llanelli Scarlets,2/13/2004
2004,Cardiff Blues,29,19,Glasgow,2/13/2004
2004,Edinburgh,17,32,Connacht,2/13/2004
2004,Ulster,31,19,Neath–Swansea Ospreys,2/13/2004
2004,Munster,24,13,Leinster,2/13/2004
2004,Celtic Warriors,29,24,Borders,2/15/2004
2004,Glasgow,27,25,Ulster,2/20/2004
2004,Llanelli Scarlets,37,20,Munster,2/20/2004
2004,Neath–Swansea Ospreys,26,14,Newport Gwent Dragons,2/20/2004
2004,Borders,24,10,Edinburgh,2/20/2004
2004,Leinster,16,37,Celtic Warriors,2/20/2004
2004,Connacht,18,21,Cardiff Blues,2/21/2004
2004,Celtic Warriors,16,15,Llanelli Scarlets,2/27/2004
2004,Cardiff Blues,59,13,Borders,2/27/2004
2004,Edinburgh,40,34,Leinster,2/27/2004
2004,Munster,15,18,Neath–Swansea Ospreys,2/27/2004
2004,Connacht,28,28,Glasgow,2/28/2004
2004,Newport Gwent Dragons,27,19,Ulster,2/28/2004
2004,Neath–Swansea Ospreys,23,11,Celtic Warriors,3/5/2004
2004,Glasgow,48,20,Newport Gwent Dragons,3/5/2004
2004,Leinster,18,22,Cardiff Blues,3/5/2004
2004,Borders,40,29,Connacht,3/5/2004
2004,Ulster,36,13,Munster,3/5/2004
2004,Llanelli Scarlets,47,12,Edinburgh,3/6/2004
2004,Celtic Warriors,0,28,Ulster,3/12/2004
2004,Edinburgh,31,35,Neath–Swansea Ospreys,3/12/2004
2004,Munster,6,16,Newport Gwent Dragons,3/12/2004
2004,Borders,11,15,Glasgow,3/12/2004
2004,Connacht,35,24,Leinster,3/13/2004
2004,Cardiff Blues,0,6,Llanelli Scarlets,3/13/2004
2004,Newport Gwent Dragons,20,18,Celtic Warriors,3/26/2004
2004,Llanelli Scarlets,33,33,Connacht,3/26/2004
2004,Leinster,35,12,Borders,3/26/2004
2004,Ulster,37,0,Edinburgh,3/26/2004
2004,Glasgow,12,37,Munster,3/26/2004
2004,Neath–Swansea Ospreys,34,13,Cardiff Blues,3/28/2004
2004,Celtic Warriors,29,25,Munster,4/2/2004
2004,Edinburgh,14,19,Newport Gwent Dragons,4/2/2004
2004,Leinster,31,30,Glasgow,4/2/2004
2004,Borders,8,41,Llanelli Scarlets,4/2/2004
2004,Connacht,24,21,Neath–Swansea Ospreys,4/3/2004
2004,Cardiff Blues,19,15,Ulster,4/3/2004
2004,Neath–Swansea Ospreys,60,7,Borders,4/16/2004
2004,Glasgow,19,44,Celtic Warriors,4/16/2004
2004,Llanelli Scarlets,51,20,Leinster,4/16/2004
2004,Munster,17,28,Edinburgh,4/16/2004
2004,Ulster,42,27,Connacht,4/16/2004
2004,Newport Gwent Dragons,48,25,Cardiff Blues,4/17/2004
2004,Cardiff Blues,60,14,Munster,4/30/2004
2004,Edinburgh,19,30,Celtic Warriors,4/30/2004
2004,Leinster,16,16,Neath–Swansea Ospreys,4/30/2004
2004,Borders,15,19,Ulster,4/30/2004
2004,Connacht,14,32,Newport Gwent Dragons,5/1/2004
2004,Llanelli Scarlets,36,26,Glasgow,5/1/2004
2004,Newport Gwent Dragons,54,10,Borders,5/7/2004
2004,Celtic Warriors,30,26,Cardiff Blues,5/7/2004
2004,Edinburgh,19,17,Glasgow,5/7/2004
2004,Ulster,28,6,Leinster,5/7/2004
2004,Munster,39,10,Connacht,5/7/2004
2004,Neath–Swansea Ospreys,15,18,Llanelli Scarlets,5/9/2004
2004,Cardiff Blues,55,22,Edinburgh,5/13/2004
2004,Connacht,3,20,Celtic Warriors,5/14/2004
2004,Glasgow,34,31,Neath–Swansea Ospreys,5/14/2004
