Date,Year,Team,ELO
1938-08-10,1938,ACT,1489.7
1947-06-01,1947,ACT,1480.8
1949-05-25,1949,ACT,1461.4
1956-05-15,1956,ACT,1457.4
1957-06-15,1957,ACT,1454.0
1968-06-05,1968,ACT,1451.4
1971-07-21,1971,ACT,1449.1
1973-06-19,1973,ACT,1515.0
1974-05-21,1974,ACT,1504.6
1976-06-08,1976,ACT,1446.6
1978-06-13,1978,ACT,1473.6
1979-05-23,1979,ACT,1449.0
1980-07-08,1980,ACT,1443.0
1981-07-01,1981,ACT,1435.2
1981-08-09,1981,ACT,1455.6
1982-07-06,1982,ACT,1448.5
1983-07-20,1983,ACT,1558.1
1984-07-25,1984,ACT,1552.8
1985-07-31,1985,ACT,1618.4
1986-06-18,1986,ACT,1618.4
1988-07-06,1988,ACT,1617.0
1989-07-04,1989,ACT,1605.4
1990-06-05,1990,ACT,1599.7
1991-07-10,1991,ACT,1576.4
1992-07-01,1992,ACT,1571.5
1993-08-04,1993,ACT,1556.7
1994-05-25,1994,ACT,1623.0
1994-07-27,1994,ACT,1595.9
1995-04-22,1995,ACT,1677.7
1996-06-02,1996,ACT,1742.3
2001-07-03,2001,ACT,1736.9
2014-02-23,2014,ACT A,1469.4
2014-03-02,2014,ACT A,1417.5
2014-03-09,2014,ACT A,1338.0
2014-03-15,2014,ACT A,1351.1
1997-05-24,1997,ACT Brumbies,1541.6
1998-03-01,1998,ACT Brumbies,1482.7
1998-03-06,1998,ACT Brumbies,1522.5
1998-03-14,1998,ACT Brumbies,1462.7
1998-03-21,1998,ACT Brumbies,1523.1
1998-03-28,1998,ACT Brumbies,1465.6
1998-04-03,1998,ACT Brumbies,1415.5
1998-04-11,1998,ACT Brumbies,1384.3
1998-04-24,1998,ACT Brumbies,1359.4
1998-05-02,1998,ACT Brumbies,1349.1
1998-05-08,1998,ACT Brumbies,1324.9
1998-05-16,1998,ACT Brumbies,1388.6
1999-02-26,1999,ACT Brumbies,1363.3
1999-03-05,1999,ACT Brumbies,1344.6
1999-03-12,1999,ACT Brumbies,1340.8
1999-03-19,1999,ACT Brumbies,1427.0
1999-03-27,1999,ACT Brumbies,1472.9
1999-04-02,1999,ACT Brumbies,1449.5
1999-04-10,1999,ACT Brumbies,1410.4
1999-04-17,1999,ACT Brumbies,1476.3
1999-04-25,1999,ACT Brumbies,1522.7
1999-05-01,1999,ACT Brumbies,1516.7
1999-05-14,1999,ACT Brumbies,1570.7
2001-02-23,2001,ACT Brumbies,1657.6
2001-03-03,2001,ACT Brumbies,1643.8
2001-03-10,2001,ACT Brumbies,1663.8
