Era,Rank,Team,Avg_ELO
Pre-WW1,1,New Zealand,1965.7
Pre-WW1,2,South Africa,1873.0
Pre-WW1,3,British & Irish Lions,1738.1
Pre-WW1,4,Wales,1643.3
Pre-WW1,5,Transvaal,1578.8
Pre-WW1,6,British XV,1574.5
Pre-WW1,7,Western Province Town,1573.1
Pre-WW1,8,Cardiff,1567.6
Pre-WW1,9,Griqualand West,1554.5
Pre-WW1,10,Western Province Country,1549.2
Interwar,1,South Africa,2017.1
Interwar,2,New Zealand,1951.9
Interwar,3,Transvaal,1747.7
Interwar,4,British & Irish Lions,1732.0
Interwar,5,England,1685.4
Interwar,6,Western Province,1670.6
Interwar,7,Australia,1664.6
Interwar,8,Fiji,1631.8
Interwar,9,Western Province Town,1629.8
Interwar,10,New Zealand Maori,1614.7
Post-WW2,1,New Zealand,2144.9
Post-WW2,2,South Africa,2123.8
Post-WW2,3,British & Irish Lions,2046.6
Post-WW2,4,France,1900.5
Post-WW2,5,Wales,1868.8
Post-WW2,6,Romania,1839.6
Post-WW2,7,Australia,1801.6
Post-WW2,8,England,1797.4
Post-WW2,9,New Zealand Maori,1782.1
Post-WW2,10,South America XV,1747.9
Professional,1,New Zealand,2346.6
Professional,2,Australia,2175.6
Professional,3,South Africa,2136.1
Professional,4,England,2068.3
Professional,5,British & Irish Lions,2057.8
Professional,6,France,2032.8
Professional,7,New Zealand Maori,1926.5
Professional,8,Scotland,1880.6
Professional,9,Sydney,1876.8
Professional,10,New South Wales,1873.3
Modern,1,New Zealand,2599.6
Modern,2,South Africa,2382.1
Modern,3,Ireland,2291.9
Modern,4,Australia,2280.5
Modern,5,England,2265.9
Modern,6,British & Irish Lions,2254.8
Modern,7,France,2244.0
Modern,8,New Zealand Maori,2150.1
Modern,9,Wales,2123.3
Modern,10,Argentina,2065.9
